일련번호,구분,아파트명,도로명주소,준공년도,동수,세대수,관리사무소 전화번호,관리사무소 팩스번호
87,부흥동,관악성원,경기도 안양시 동안구 동안로 209,1992,7,790,031-381-5931,031-383-7446
88,부흥동,관악주공,경기도 안양시 동안구 달안로 39 ,1992,3,489,031-381-8991,031-387-4223
89,부흥동,은하수벽산,경기도 안양시 동안구 시민대로159번길 62,1992,9,620,031-381-0875,031-382-5374
90,부흥동,은하수신성,경기도 안양시 동안구 달안로 40 ,1992,8,507,031-382-1952,031-382-1951
91,부흥동,은하수청구,경기도 안양시 동안구 시민대로159번길 59 ,1992,6,502,031-381-0850,031-382-5292
92,달안동,샛별한양4-1차,경기도 안양시 동안구 달안로 61,1993,8,1262,031-341-8852,031-342-8852
93,달안동,샛별한양4-2.3차,경기도 안양시 동안구 학의로 98+경기도 안양시 동안구 달안로 75,1993,13,1482,031-341-0390,031-384-0747
94,달안동,평촌1차한양,경기도 안양시 동안구 달안로 62+경기도 안양시 동안구 달안로 78+경기도 안양시 동안구 평촌대로253번길 18+경기도 안양시 동안구 평촌대로 253번길 48+경기도 안양시 동안구 동안로 159번길 14,1992,25,3227,031-381-0156,031-384-0158
95,관양동,관양현대,경기도 안양시 동안구 관평로 333,1985,12,905,031-384-8138,031-384-6004
96,관양동,동편마을1단지,경기도 안양시 동안구 동편로 120,2011,12,1017,031-422-7966,031-422-7968
97,관양동,동편마을2단지,경기도 안양시 동안구 동편로 80,2012,11,970,031-421-4629,031-421-4632
98,관양동,동편마을3단지,경기도 안양시 동안구 동편로 110,2012,20,1042,031-424-5568,031-424-5563
99,관양동,동편마을4단지,경기도 안양시 동안구 동편로 135,2012,13,711,031-426-9045,031-426-9046
100,인덕원동,인덕원메트로빌(창덕에버빌),경기도 안양시 동안구 관악대로 488,2002,1,160,031-422-5051,031-422-5052
101,인덕원동,인덕원 삼성,경기도 안양시 동안구 안양판교로 42,1998,13,1314,031-424-6487,031-424-6488
102,인덕원동,평촌더샵센트럴시티,경기도 안양시 동안구 시민대로 327번길 55,2016,10,1459,031-422-9550,031-422-9552
103,부림동,한가람한양6차,경기도 안양시 동안구 학의로 120 ,1995,8,952,031-386-0193,031-386-0194
104,부림동,한가람삼성,경기도 안양시 동안구 학의로 146,1995,10,708,031-385-8467,031-386-8857
105,부림동,한가람두산,경기도 안양시 동안구 달안로 125,1992,6,436,031-382-3282,031-383-5258
106,부림동,한가람세경,경기도 안양시 동안구 달안로 110,1996,11,1292,031-387-1353,031-387-4463
107,부림동,한가람신라,경기도 안양시 동안구 달안로 124 ,1992,9,1068,031-381-1667,031-383-0248
108,부림동,공작마을럭키,경기도 안양시 동안구 학의로 168,1993,8,773,031-383-4491,031-383-4494
109,부림동,공작마을성일,경기도 안양시 동안구 달안로 153,1993,7,750,031-382-6816,031-387-5694
110,부림동,공작마을부영2차,경기도 안양시 동안구 관평로212번길 21 ,1993,14,1710,031-382-4814,031-382-4815
111,평촌동,래미안인덕원더포인트,경기도 안양시 동안구 흥안대로456번길 66,2000,5,535,031-421-1798,031-423-1798
112,평촌동,인덕원푸른마을대우,경기도 안양시 동안구 학의로 390,2001,17,1996,031-425-3913,031-425-3444
113,평촌동,인덕원대림1차,경기도 안양시 동안구 흥안대로 446-20,2000,2,180,031-342-5471,031-425-7800
114,평촌동,인덕원대림2차,경기도 안양시 동안구 흥안대로414번길 39 ,2004,10,862,031-426-9172,031-426-9173
115,평촌동,평촌영풍,경기도 안양시 동안구 흥안대로414번길 20,2000,1,230,031-422-1529,031-346-1142
116,평촌동,평촌e-편한세상,경기도 안양시 동안구 흥안대로456번길 17,2000,7,220,031-422-1025,031-422-1026
117,평안동,초원세경,경기도 안양시 동안구 관평로138번길 13,1996,6,709,031-387-7924,031-387-4900
118,평안동,초원부영,경기도 안양시 동안구 관평로138번길 63,1992,13,1743,031-346-2311,031-346-2318
119,평안동,초원한양,경기도 안양시 동안구 부림로 80,1993,11,870,031-422-3077,031-422-3610
120,평안동,초원LG,경기도 안양시 동안구 부림로 52,1993,9,656,031-423-3823,031-423-8672
121,평안동,초원성원,경기도 안양시 동안구 관평로138번길 12,1992,5,368,031-381-2809,031-382-2809
122,평안동,초원대림,경기도 안양시 동안구 귀인로 237 ,1993,12,1035,031-387-4364,031-387-4365
123,평안동,초원대원,경기도 안양시 동안구 부림로 55,1993,9,752,031-383-5628,031-383-5629
124,평안동,향촌롯데,경기도 안양시 동안구 평촌대로180번길 28,1993,8,530,031-383-0539,031-382-4117
125,평안동,향촌현대4차,경기도 안양시 동안구 귀인로 193,1992,8,552,031-382-3038,031-382-3039
126,평안동,향촌현대5차,경기도 안양시 동안구 귀인로 213,1993,11,780,031-383-1700,031-383-8536
127,귀인동,귀인마을현대홈타운,경기도 안양시 동안구 귀인로 208,2002,11,967,031-385-1886,031-385-1940
128,귀인동,꿈마을금호,경기도 안양시 동안구 관평로 88,1993,6,250,031-382-8437,031-382-8436
129,귀인동,꿈마을한신,경기도 안양시 동안구 관평로 68,1993,10,566,031-383-8554,031-388-7117
130,귀인동,꿈마을라이프,경기도 안양시 동안구 귀인로 258,1992,7,548,031-381-4437,031-384-5736
131,귀인동,꿈마을현대,경기도 안양시 동안구 부림로 13,1993,7,386,031-387-1314,031-387-9666
132,귀인동,꿈마을우성,경기도 안양시 동안구 부림로 34,1993,8,422,031-423-4441,031-424-4629
133,귀인동,꿈마을건영2차,경기도 안양시 동안구 부림로 10,1993,4,196,031-423-4750,031-342-4750
134,귀인동,꿈마을건영3차,경기도 안양시 동안구 귀인로 294,1994,6,386,031-423-1794,031-341-1791
135,귀인동,꿈마을동아,경기도 안양시 동안구 귀인로 294,1994,6,372,031-422-1769,031-341-1769
136,호계1동,호계푸르지오,경기도 안양시 동안구 엘에스로 116번길 56,2015,10,410,031-477-3415,031-477-3443
137,호계1동,신평촌일성트루엘파크,경기도 안양시 동안구경수대로596번길 62-12,2018,2,200,031-477-7806,031-477-7808
138,호계1동,평촌더샵아이파크,경기도 안양시 동안구 경수대로610번길 36,2019,13,1174,031-429-5783,031-429-5786
139,호계1동,평촌어바인퍼스트,경기도 안양시 동안구 경수대로 581+경기도 안양시 동안구 경수대로 583,2021,34,3850,031-360-0542,031-360-0543
140,호계1동,평촌어바인퍼스트더샵,경기도 안양시 동안구 경수대로 540,2024,5,304,031-427-6330,031-427-6331
141,호계1동,평촌센텀퍼스트,경기도 안양시 동안구 갈산로 15,2023,23,2886,031-427-8896,031-427-8897
142,호계2동,호계럭키,경기도 안양시 동안구 경수대로623번길 46,1992,12,794,031-459-2894,031-458-8949
143,호계2동,한마음임광2차,경기도 안양시 동안구 경수대로797번길 12 ,2003,5,426,031-477-3862,031-477-3863
144,호계2동,한마음임광1차,경기도 안양시 동안구 경수대로797번길 5 ,1999,6,644,031-454-4716,031-454-4717
145,호계2동,범계마을효성,경기도 안양시 동안구 시민대로110번길 43,2000,2,370,031-429-1537,031-456-1536
146,호계2동,평촌대성유니드,경기도 안양시 동안구 안양천동로126번길 26,2019,3,203,031-383-1822,031-383-1823
147,호계2동,호계1차현대홈타운,경기도 안양시 동안구 경수대로733번길 23,2002,7,604,031-459-0052,031-459-0065
148,호계2동,호계신성미소지움,경기도 안양시 동안구 경수대로707번길 39 ,2004,4,361,031-452-0126,031-452-0127
149,호계2동,호계신도브래뉴,경기도 안양시 동안구 경수대로707번길 57,2004,1,203,031-477-5497,031-346-5560
150,호계2동,흥화,경기도 안양시 동안구 귀인로98번길 13,1999,1,196,031-458-6675,070-4275-5985
151,호계2동,푸른마을삼성,경기도 안양시 동안구 귀인로82번길 54,1999,4,231,031-458-2876,031-458-2873
152,호계2동,평촌트리지아,경기도 안양시 동안구 경수대로665번길 18,2024,22,2417,031-360-0607+031-360-5033+031-360-7010,031-360-0608
153,호계3동,아크로리버,경기도 안양시 동안구 엘에스로 35,2007,1,210,031-458-0052,031-458-0053
154,호계3동,호계삼익,경기도 안양시 동안구 경수대로 480 ,1996,1,261,031-454-9357,031-454-5130
155,호계3동,호계2차현대홈타운,경기도 안양시 동안구 경수대로 462,2003,24,1978,031-427-1861,031-427-1865
156,호계3동,호계e편한세상,경기도 안양시 동안구 경수대로 430 ,2003,20,1752,031-477-2362,031-477-2364
157,호계3동,일신건영장미,경기도 안양시 동안구 호성로 37 ,2000,1,168,031-454-1893,031-454-1898
158,호계3동,호계현대,경기도 안양시 동안구 포도원로27번길 44 ,1999,2,212,031-457-8560,031-457-8561
159,호계3동,평촌두산위브리버뷰,경기도 안양시 동안구 엘에스로45번길 20,2022,8,855,031-429-7713,031-429-7714
160,호계3동,평촌신원아침도시아파트,경기도 안양시 동안구 호성로 14,2022,4,144,031-429-0967,031-429-0969
161,범계동,목련1단지선경,경기도 안양시 동안구 동안로 101,1992,7,504,031-341-3106,031-341-3107
162,범계동, 목련2단지대우.선경,경기도 안양시 동안구 동안로 102,1992,9,994,031-381-2008,031-347-2008
163,범계동,목련3단지우성1차,경기도 안양시 동안구 평촌대로211번길 21,1992,10,902,031-381-0933,031-381-1034
164,범계동,목련5단지우성2차,경기도 안양시 동안구 평촌대로179번길 30,1993,7,683,031-383-0204,031-387-3032
165,범계동,목련6단지두산,경기도 안양시 동안구 평촌대로179번길 27,1993,10,440,031-381-2173,031-388-4425
166,범계동,목련7단지우성3차,경기도 안양시 동안구 귀인로 157,1992,9,466,031-381-4729,031-382-7644
167,범계동,목련8단지경남.동아,경기도 안양시 동안구 동안로 57 ,1992,8,516,031-382-1250,031-384-8621
168,범계동,목련9단지신동아,경기도 안양시 동안구 동안로 75 ,1994,10,578,031-385-2733,031-342-2733
169,신촌동,무궁화한양.효성,경기도 안양시 동안구 동안로 35,1992,12,800,031-382-3881,031-386-5266
170,신촌동,무궁화코오롱,경기도 안양시 동안구 동안로 11,1992,6,458,031-381-5605,031-387-1380
171,신촌동,무궁화건영,경기도 안양시 동안구 동안로 11,1992,6,468,031-381-7310,031-387-5191
172,신촌동,무궁화금호,경기도 안양시 동안구 동안로 40,1992,7,438,031-381-1716,031-387-3424
173,신촌동,무궁화진흥,경기도 안양시 동안구 동안로 6,1992,6,321,031-381-4676,031-341-4676
174,신촌동,무궁화경남,경기도 안양시 동안구 귀인로172번길 22,1994,8,590,031-386-5777,031-386-5776
175,신촌동,무궁화태영,경기도 안양시 동안구 경수대로610번길 37,1992,8,654,031-429-4743,031-429-1518
176,갈산동,샘마을임광,경기도 안양시 동안구 평촌대로40번길 100,1992,8,390,031-457-2903,031-453-2903
177,갈산동,샘마을우방,경기도 안양시 동안구 흥안대로249번길 18,1992,8,488,031-456-6912,031-451-2335
178,갈산동,샘마을쌍용,경기도 안양시 동안구 흥안대로223번길 16 ,1992,8,392,031-429-7897,031-455-6455
179,갈산동,샘마을한양,경기도 안양시 동안구 흥안대로223번길 47 ,1993,10,536,031-341-2141,031-455-2141
180,갈산동,샘마을대우,경기도 안양시 동안구 흥안대로223번길 48,1993,10,536,031-341-2141,031-455-2141
